NPM Package Name,Package Version (April),Package Version (February),License,Repository
through2, 0.6.3, 0.6.3, MIT, https://github.com/rvagg/through2.git
vinyl, 0.4.6, 0.4.6, ----, git://github.com/wearefractal/vinyl.git
ordered-read-streams, 0.1.0, 0.1.0, MIT, git://github.com/armed/ordered-read-streams.git
glob2base, 0.0.12, 0.0.12, ----, git://github.com/wearefractal/glob2base.git
unique-stream, 1.0.0, 1.0.0, BSD, https://github.com/eugeneware/unique-stream
find-index, 0.1.1, 0.1.1, MIT, git://github.com/jsdf/find-index.git
first-chunk-stream, 1.0.0, 1.0.0, MIT, https://github.com/sindresorhus/first-chunk-stream
is-utf8, 0.2.0, 0.2.0, BSD, https://github.com/wayfind/is-utf8.git
body-parser, 1.12.2, 1.12.0, MIT, https://github.com/expressjs/body-parser
cfenv, 1.0.0, 1.0.0, Apache-2.0, https://github.com/cloudfoundry-community/node-cfenv.git
client-sessions, 0.7.0, 0.7.0, ----, https://github.com/mozilla/node-client-sessions
http-proxy, 1.9.0, 1.9.1, MIT, https://github.com/nodejitsu/node-http-proxy.git
ports, 1.1.0, 1.1.0, Apache 2.0, https://github.com/hoodiehq/node-ports
serve-static, 1.9.2, 1.9.2, MIT, https://github.com/expressjs/serve-static
deep-extend, 0.2.11, 0.2.11, MIT, git://github.com/unclechu/node-deep-extend.git
strip-json-comments, 0.1.3, 0.1.3, MIT, git://github.com/sindresorhus/strip-json-comments
truncate, 1.0.4, 1.0.4, MIT, git@github.com:FGRibreau/node-truncate.git
browser-launcher2, 0.4.4, 0.4.4, MIT, git://github.com/benderjs/browser-launcher2.git
opener, 1.4.1, 1.4.1, WTFPL, https://github.com/domenic/opener
x-default-browser, 0.3.0, 0.3.0, MIT, https://github.com/jakub-g/x-default-browser.git
headless, 0.1.7, 0.1.7, ----, git://github.com/kesla/node-headless.git
osenv, 0.1.0, 0.1.0, BSD, git://github.com/isaacs/osenv
plist, 1.1.0, 1.1.0, ----, git://github.com/TooTallNate/node-plist.git
win-detect-browsers, 0.0.2, 0.0.2, MIT, https://github.com/vweevers/win-detect-browsers
uid, 0.0.2, 0.0.2, MIT, git://github.com/MatthewMueller/uid.git
rimraf, 2.1.4, 2.1.4, MIT, git://github.com/isaacs/rimraf.git
base64-js, 0.0.6, 0.0.6, MIT, git://github.com/beatgammit/base64-js.git
xmldom, 0.1.19, 0.1.19, ----, git://github.com/jindw/xmldom.git
util-deprecate, 1.0.0, 1.0.0, MIT, git://github.com/TooTallNate/util-deprecate.git
lodash-node, 2.4.1, 2.4.1, MIT, https://github.com/lodash/lodash-node.git
default-browser-id, 1.0.2, ----, MIT, https://github.com/sindresorhus/default-browser-id
bplist-parser, 0.0.6, ----, MIT, https://github.com/nearinfinity/node-bplist-parser.git
untildify, 1.0.0, ----, MIT, https://github.com/sindresorhus/untildify
node-pre-gyp, 0.6.4, 0.6.4, BSD, git://github.com/mapbox/node-pre-gyp.git
npmlog, 1.1.0, 1.1.0, BSD, git://github.com/isaacs/npmlog.git
tar, 1.0.3, 1.0.3, BSD, git://github.com/isaacs/node-tar.git
tar-pack, 2.0.0, 2.0.0, BSD, https://github.com/ForbesLindesay/tar-pack.git
rc, 0.6.0, 0.6.0, ----, https://github.com/dominictarr/rc.git
are-we-there-yet, 1.0.2, 1.0.2, ISC, https://github.com/iarna/are-we-there-yet.git
gauge, 1.1.0, 1.1.0, ISC, https://github.com/iarna/gauge
delegates, 0.1.0, 0.1.0, MIT, git://github.com/visionmedia/node-delegates
lodash._createpad, 3.0.1, 3.0.1, MIT, https://github.com/lodash/lodash
lodash.repeat, 3.0.0, 3.0.0, MIT, https://github.com/lodash/lodash
block-stream, 0.0.7, 0.0.7, BSD, git://github.com/isaacs/block-stream.git
fstream, 1.0.4, 1.0.4, BSD, git://github.com/isaacs/fstream.git
uid-number, 0.0.3, 0.0.3, BSD, git://github.com/isaacs/uid-number.git
lru-cache, 2.5.0, 2.5.0, MIT, git://github.com/isaacs/node-lru-cache.git
sigmund, 1.0.0, 1.0.0, BSD, git://github.com/isaacs/sigmund
querystring, 0.2.0, 0.2.0, ----, git://github.com/Gozala/querystring.git
exec, 0.2.0, 0.2.0, ----, https://github.com/bahamas10/node-exec.git
shelljs, 0.3.0, 0.3.0, BSD*, git://github.com/arturadib/shelljs.git
